CONNECTEUR_A;VOIES_A;POINT_TEST_A;CONNECTEUR_B;VOIES_B;POINT_TEST_B;TYPE_TEST;POINT_LED_A;POINT_LED_B;COMMENTAIRE
CN1;1;20;CN4;3;104;PC;8;1;EP1 ORANGE
CN1;1;20;CN11;3;98;PC;59;1;EP1 MARRON
CN1;2;18;CN4;1;108;PC;8;1;MARRON
CN1;3;16;CN3;1;48;PC;57;1;BLANC
CN1;4;14;CN10;1;68;PC;59;1;NOIR
CN1;5;12;CN11;1;102;PC;49;1;ROSE
CN1;6;10;CN3;2;46;PC;61;1;EP1 JAUNE VERT
CN1;6;10;CN4;2;106;PC;8;1;EP1 JAUNE VERT
CN1;6;10;CN10;2;66;PC;57;1;EP1 JAUNE VERT
CN1;6;10;CN11;2;100;PC;57;1;EP1 JAUNE VERT
CN1;7;8;CN12;2;82;PC;57;1;BEIGE
CN1;8;6;CN5;2;94;PC;57;1;VIOLET
CN2;1;40;CN6;2;54;PC;57;1;JAUNE
CN2;2;38;CN9;2;74;PC;4;1;VERT
CN2;3;36;CN6;1;58;PC;57;1;EP2 ROSE
CN2;3;36;CN7;1;62;PC;57;1;EP2 VERT
CN2;3;36;CN5;1;96;PC;57;1;EP2 JAUNE
CN2;3;36;CN8;1;88;PC;6;1;EP2 MARRON
CN2;3;36;CN9;1;78;PC;4;1;EP2 BLANC
CN2;3;36;CN12;1;84;PC;57;1;EP2 NOIR
CN2;4;34;CN6;3;56;PC;57;1;EP3 ORANGE
CN2;4;34;CN7;3;64;PC;57;1;EP3 JAUNE
CN2;4;34;CN5;3;92;PC;57;1;EP3 VERT
CN2;4;34;CN8;3;90;PC;6;1;EP3 VIOLET
CN2;4;34;CN9;3;76;PC;4;0;EP3 ROSE
CN2;4;34;CN12;3;80;PC;15;0;EP3 BLANC
CN2;5;32;CN7;2;60;PC;21;0;ROSE
CN2;6;30;CN8;2;86;PC;6;0;BEIGE
AG0;1;28;AG0;2;26;PC;1;0;AGRAFE 10V
AG1;1;81;AG1;2;83;PC;1;0;AGRAFE 1
AG2;1;85;AG2;2;87;PC;1;0;AGRAFE 2
AG3;1;89;AG3;2;91;PC;17;0;AGRAFE3
AG4;1;93;AG4;2;95;PC;63;0;AGRAFE4
AG5;1;97;AG5;2;99;PC;22;0;AGRAFE5
AG6;1;101;AG6;2;103;PC;5;0;AGRAFE6
AG7;1;105;AG7;2;107;PC;17;0;AGRAFE7
AG8;1;109;AG8;2;111;PC;1;0;AGRAFE8
AG TSV1;1;113;AG TSV1;2;115;PC;1;0;AGRAFE TSV1
AG TSV2;1;117;AG TSV2;2;119;PC;1;0;AGRAFE TSV2
AG TSV3;1;121;AG TSV3;2;123;PC;1;0;AGRAFE TSV3
VE1;1;18;VE2;2;22;PNC;1;1;Verouillage

